Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",0,4.17,Bantam,Hardcover,244,2004,1951,,2025/03/12,,,read,,,,1,0
189989,Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,"Carse, James P.",,"=""0345341848""","=""9780345341846""",0,3.73,Ballantine,Mass Market Paperback,180,1987,1986,,2025/02/25,to-read,to-read (#13),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",0,4.12,Knopf,Hardcover,416,2022,2022,2025/02/25,2025/01/15,,,read,,,,1,0
42267952,"Into the Labyrinth (Mage Errant, #1)",John Bierce,"Bierce, John",,"=""""","=""""",0,4.17,,Kindle Edition,216,2018,2018,,2025/02/12,to-read,to-read (#12),to-read,,,,0,0
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.00,William Morrow,Kindle Edition,872,2015,2015,,2025/01/15,to-read,to-read (#11),to-read,,,,0,0
203578847,"Wind and Truth (The Stormlight Archive, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""1250319188""","=""9781250319180""",0,4.38,Tor Books,Hardcover,1344,2024,2024,2025/01/06,2024/09/27,,,read,,,,1,0
7234685,Understand,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.12,BBC Radio 7,Audiobook,46,2006,,,2024/11/24,,,read,,,,1,0
530415,The Art of Doing Science and Engineering: Learning to Learn,Richard Hamming,"Hamming, Richard",,"=""9056995014""","=""9789056995010""",0,4.18,CRC Press,Paperback,376,1997,1996,,2025/01/05,to-read,to-read (#10),to-read,,,,0,0
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""015603008X""","=""9780156030083""",0,4.24,Harvest Books,Paperback,311,2004,1966,,2024/08/13,,,read,,,,1,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",0,4.16,Bloomsbury Publishing,Paperback,419,2020,2015,,2025/01/03,to-read,to-read (#9),to-read,,,,0,0
426504,Ficciones,Jorge Luis Borges,"Borges, Jorge Luis","Anthony Kerrigan, Anthony Bonner","=""0802130305""","=""9780802130303""",0,4.40,Grove Press,Paperback,174,1994,1944,,2024/11/24,to-read,to-read (#8),to-read,,,,0,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",0,4.28,Doubleday,Hardcover,720,2015,2015,,2024/01/08,,,read,,,,1,0
18775402,Consumed,David Cronenberg,"Cronenberg, David",,"=""1416596135""","=""9781416596134""",0,3.15,Scribner,Hardcover,308,2014,2014,,2024/10/13,"to-read, check-it-out","to-read (#7), check-it-out (#1)",to-read,,,,0,0
95558,Solaris,Stanisław Lem,"Lem, Stanisław","Steve Cox, Joanna Kilmartin","=""""","=""""",0,3.98,Harcourt,Paperback,204,2002,1961,,2024/09/27,to-read,to-read (#6),to-read,,,,0,0
7886338,The Lifecycle of Software Objects,Ted Chiang,"Chiang, Ted",,"=""1596063173""","=""9781596063174""",0,3.91,Subterranean Pr,Hardcover,150,2010,2010,,2024/05/29,,,read,,,,1,0
45857086,"The Burning God (The Poppy War, #3)",R.F. Kuang,"Kuang, R.F.",,"=""0008339147""","=""9780008339142""",0,4.29,Harper Voyager,Hardcover,622,2020,2020,,2024/09/18,,,read,,,,1,0
41118857,"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,4.35,Harper Voyager,Hardcover,658,2019,2019,,2024/09/18,,,read,,,,1,0
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",0,4.16,Harper Voyager,Kindle Edition,545,2018,2018,,2024/02/27,,,read,,,,2,0
41952489,"The Rage of Dragons (The Burning, #1)",Evan Winter,"Winter, Evan",,"=""031648976X""","=""9780316489768""",0,4.31,Orbit,Hardcover,535,2019,2017,,2024/08/03,to-read,to-read (#5),to-read,,,,0,0
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",0,4.14,Knopf,Paperback,607,1997,1994,,2024/07/04,to-read,to-read (#4),to-read,,,,0,0
65645376,"Death's End (The Three-Body Problem, #3)",Cixin Liu,"Liu, Cixin",Ken Liu,"=""""","=""""",0,4.41,Head of Zeus,Kindle Edition,625,2016,2010,,2024/07/03,,,read,,,,1,0
33257757,"Iron Gold (Red Rising Saga, #4)",Pierce Brown,"Brown, Pierce",,"=""042528591X""","=""9780425285916""",4,4.21,Del Rey,Hardcover,602,2018,2018,2024/04/04,2024/02/27,,,read,,,,1,0
34376766,"Blood, Sweat, and Pixels",Jason Schreier,"Schreier, Jason",,"=""0062651242""","=""9780062651242""",0,4.20,Harper Paperbacks,Kindle Edition,353,2017,2017,,2024/01/24,to-read,to-read (#3),to-read,,,,0,0
157265081,"The Narrow Road Between Desires (The Kingkiller Chronicle, #0.6)",Patrick Rothfuss,"Rothfuss, Patrick",Nate Taylor,"=""0756419182""","=""9780756419189""",5,4.03,DAW,ebook,240,2023,2023,,2023/09/24,currently-reading,currently-reading (#2),currently-reading,Another positive rating to combat the crazy amount of negative comments.<br/><br/>I am happy to have had Kvothe's story in my life and will continue to follow until I can hopefully read the third and last book.<br/><br/>I get that you are frustrated and I do have to say that I am disappointed in Pat's intransparency but nothing he did had any real negative impact on anyone which is why I think this is way overblown.<br/><br/>Keep us posted Pat and keep doing what you enjoy!,,,1,0
57189884,"He Who Fights with Monsters (He Who Fights with Monsters, #1)",Shirtaloon,"Shirtaloon, Shirtaloon",Travis Deverell,"=""""","=""""",0,4.38,Aethon Books,Kindle Edition,680,2021,2021,,2024/01/22,to-read,to-read (#2),to-read,,,,0,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,3.99,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,,2024/01/08,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",0,4.01,Signet Classics,Mass Market Paperback,141,1996,1945,,2024/01/08,,,read,,,,1,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",0,4.20,Plume,Paperback,368,2022,1949,,2024/01/08,to-read,to-read (#1),to-read,,,,0,0
59838811,Upgrade,Blake Crouch,"Crouch, Blake",,"=""0593157532""","=""9780593157534""",0,3.81,Ballantine Books,Hardcover,352,2022,2022,,2024/01/06,,,read,,,,1,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.13,Ballantine Books,Hardcover,342,2016,2016,2023/12/26,2023/12/22,,,read,,,,1,0
19161852,The Fifth Season (The Broken Earth #1),N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.29,Orbit,Paperback,468,2015,2015,,2023/12/22,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",4,4.42,Ballantine Books,Hardcover,384,2014,2011,2023/12/22,2023/11/08,,,read,,,,1,0
64222,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060502932""","=""9780060502935""",0,4.41,HarperTorch,Mass Market Paperback,394,2005,2004,2023/10/12,2023/09/22,,,read,,,,1,0
29588376,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""""","=""""",0,4.30,Spectra,Kindle Edition,752,2016,2006,,2023/09/22,,,read,,,,1,0
111450,Quidditch Through the Ages,J.K. Rowling,"Rowling, J.K.",Kennilworthy Whisp,"=""0439321611""","=""9780439321617""",0,3.80,Scholastic,Hardcover,105,2001,2001,,2023/09/22,,,read,,,,1,0
6999448,Die Märchen von Beedle dem Barden,J.K. Rowling,"Rowling, J.K.",Klaus Fritz,"=""3551359261""","=""9783551359261""",0,4.03,Carlsen,Paperback,128,2009,2008,,2023/09/22,,,read,,,,1,0
7457156,Phantastische Tierwesen und wo sie zu finden sind,Newt Scamander,"Scamander, Newt","J.K. Rowling, Klaus Fritz","=""""","=""""",0,3.95,Carlsen,Paperback,62,2010,2001,,2023/09/22,,,read,,,,1,0
